"StartDate"	"EndDate"	"HUS"	"Study"	"Samples"	"Screeningpos"	"Confirmationpos"
"1"	2020-02-10	2020-02-16	NA	NA	NA	NA	NA
"2"	2020-02-17	2020-02-23	NA	NA	NA	NA	NA
"3"	2020-02-24	2020-03-01	NA	NA	NA	NA	NA
"4"	2020-03-02	2020-03-08	24	20	NA	NA	NA
"5"	2020-03-09	2020-03-15	220	190	NA	NA	NA
"6"	2020-03-16	2020-03-22	611	505	NA	NA	NA
"7"	2020-03-23	2020-03-29	965	737	NA	NA	NA
"8"	2020-03-30	2020-04-05	1578	1030	NA	NA	NA
"9"	2020-04-06	2020-04-12	2212	1332	23	1	0
"10"	2020-04-13	2020-04-19	2825	1621	339	8	1
"11"	2020-04-20	2020-04-26	3436	1895	465	13	2
"12"	2020-04-27	2020-05-03	3965	2138	170	4	2
"13"	2020-05-04	2020-05-10	4466	2415	139	2	0
"14"	2020-05-11	2020-05-17	4804	2636	88	2	1
"15"	2020-05-18	2020-05-24	4987	2747	47	0	0
"16"	2020-05-25	2020-05-31	5118	2825	48	0	0
"17"	2020-06-01	2020-06-07	5200	2863	48	2	1
"18"	2020-06-08	2020-06-14	5240	2885	44	1	0
"19"	2020-06-15	2020-06-21	5279	2899	23	0	0
"20"	2020-06-22	2020-06-28	5315	2915	9	0	0
"21"	2020-06-29	2020-07-04	5347	2932	22	2	0
